1931	0.0001
1932	0.000112857
1933	0.000125714
1934	0.000138571
1935	0.000151429
1936	0.000164286
1937	0.000177143
1938	0.00019
1939	0.000202857
1940	0.000215714
1941	0.000228571
1942	0.000241429
1943	0.000254286
1944	0.000267143
1945	0.00028
1946	0.000292857
1947	0.000305714
1948	0.000318571
1949	0.000331429
1950	0.000344286
1951	0.000357143
1952	0.00037
1953	0.000382857
1954	0.000395714
1955	0.000408571
1956	0.000421429
1957	0.000434286
1958	0.000447143
1959	0.00046
1960	0.000472857
1961	0.000485714
1962	0.000498571
1963	0.000511429
1964	0.000524286
1965	0.000537143
1966	0.00055
1967	0.000562857
1968	0.000575714
1969	0.000588571
1970	0.000601429
1971	0.000614286
1972	0.000627143
1973	0.00064
1974	0.000652857
1975	0.000665714
1976	0.000678571
1977	0.000691429
1978	0.000704286
1979	0.000717143
1980	0.00073
1981	0.000742857
1982	0.000755714
1983	0.000768571
1984	0.000781429
1985	0.000794286
1986	0.000807143
1987	0.00082
1988	0.000832857
1989	0.000845714
1990	0.000858571
1991	0.000871429
1992	0.000884286
1993	0.000897143
1994	0.00091
1995	0.000922857
1996	0.000935714
1997	0.000948571
1998	0.000961429
1999	0.000974286
2000	0.000987143
2001	0.001
2002	0.001012857
2003	0.001025714
2004	0.001038571
